datetime,ciudad,temperature_2m_mean,precipitation_sum,wind_speed_10m_max
2020-02-01,Rio,26.08,292.5,33.7
2020-03-01,Rio,24.75,176.0,24.8
2020-04-01,Rio,23.66,51.5,27.4
2020-05-01,Rio,21.66,99.3,29.7
2020-06-01,Rio,22.52,20.8,36.3
2020-07-01,Rio,22.14,51.4,31.1
2020-08-01,Rio,21.27,75.2,33.2
2020-09-01,Rio,23.81,146.8,30.4
2020-10-01,Rio,24.26,95.5,27.0
2020-11-01,Rio,23.61,144.7,28.9
2020-12-01,Rio,25.92,215.8,24.3
